"species","term","estimate","std.error","statistic","p.value","conf.low","conf.high","climate_zone"
"ACANTHOSTRACION QUADRICORNIS","(Intercept)",764.988401242061,554.533755452503,1.37951638420609,0.226241293292581,-660.485997771331,2190.46280025545,"subtropical"
"ACANTHOSTRACION QUADRICORNIS","year",-0.425023519074772,0.275124313325267,-1.54484172604653,0.183042762714596,-1.13225308145062,0.282206043301073,"subtropical"
"ACHIRUS LINEATUS","(Intercept)",89.8199354231787,119.970114730161,0.748685917532076,0.461976571265565,-158.982854469057,338.622725315415,"tropical"
"ACHIRUS LINEATUS","year",-0.0919467455378595,0.0600243555448665,-1.53182395218108,0.13982047945052,-0.216429639920654,0.0325361488449348,"tropical"
"ALECTIS CILIARIS","(Intercept)",387.441236682946,277.341194537158,1.39698409148893,0.256819759413572,-495.182223174802,1270.06469654069,"subtropical"
"ALECTIS CILIARIS","year",-0.241307030794269,0.139073188417291,-1.73510820842205,0.181129226659837,-0.683899985436902,0.201285923848365,"subtropical"
"ALOSA CHRYSOCHLORIS","(Intercept)",-52.9420842198746,186.339005930495,-0.284117026145465,0.782116746751127,-468.131262974112,362.247094534363,"subtropical"
"ALOSA CHRYSOCHLORIS","year",-0.0185874546019487,0.0931724078544554,-0.19949526936112,0.845873472306475,-0.226188516475572,0.189013607271674,"subtropical"
"ALUTERUS HEUDELOTII","(Intercept)",27.5229437791135,146.962248382359,0.187279005881196,0.853158323959859,-277.258105139682,332.303992697909,"tropical"
"ALUTERUS HEUDELOTII","year",-0.0606183964086728,0.0734267164127639,-0.82556321963126,0.417914755795704,-0.21289608604173,0.0916592932243847,"tropical"
"ALUTERUS MONOCEROS","(Intercept)",2.6636488190321,319.465419071443,0.00833783145222494,0.993551621534786,-734.024928614448,739.352226252512,"subtropical"
"ALUTERUS MONOCEROS","year",-0.0482222125747919,0.159859920724871,-0.301652924361105,0.770609212058475,-0.416859850819755,0.320415425670172,"subtropical"
"ALUTERUS SCHOEPFII","(Intercept)",185.349661494804,138.180059710601,1.34136330439424,0.190977182916423,-98.1724017884738,468.871724778083,"subtropical"
"ALUTERUS SCHOEPFII","year",-0.139332849805869,0.0691070838346187,-2.01618766231417,0.0538294307074309,-0.281128873322702,0.00246317371096261,"subtropical"
"ALUTERUS SCRIPTUS","(Intercept)",29.407976966928,97.7146827013606,0.300957605898448,0.766715498880595,-175.111204395895,233.927158329751,"subtropical"
"ALUTERUS SCRIPTUS","year",-0.0620888811810332,0.0488321664288603,-1.27147504855197,0.218904611401566,-0.164295780145508,0.0401180177834413,"subtropical"
"ANCHOA CUBANA","(Intercept)",186.605538307463,169.063515002546,1.10375995852595,0.350282455295895,-351.430020370668,724.641096985594,"subtropical"
"ANCHOA CUBANA","year",-0.138145468202304,0.0842688464457847,-1.63934210599621,0.199672909841497,-0.406326547224212,0.130035610819603,"subtropical"
"ANCHOA HEPSETUS","(Intercept)",-68.5960425165973,47.7543273341647,-1.43643615868759,0.160016626862301,-165.644512037614,28.4524270044199,"subtropical"
"ANCHOA HEPSETUS","year",-0.011421048661332,0.0238354475030828,-0.479162334160283,0.634890744036248,-0.0598605059766028,0.0370184086539387,"subtropical"
"ANCHOA LYOLEPIS","(Intercept)",-79.9928797344609,71.3728327683281,-1.12077490316397,0.270473968514183,-225.201999823918,65.2162403549959,"subtropical"
"ANCHOA LYOLEPIS","year",-0.00543698028751901,0.0356487716779602,-0.152515220906768,0.879709293060163,-0.0779649516016077,0.0670909910265696,"subtropical"
"ANCHOA MITCHILLI","(Intercept)",-11.7206596017346,44.5022310942287,-0.263372404338951,0.793901147103437,-102.261129533569,78.8198103300993,"subtropical"
"ANCHOA MITCHILLI","year",-0.0396317941407354,0.0222070369242634,-1.7846502563984,0.083514561591586,-0.0848123504741717,0.00554876219270086,"subtropical"
"ANCHOVIELLA PERFASCIATA","(Intercept)",-213.212379423672,136.83110089323,-1.55821577135481,0.136590309258282,-500.683855080705,74.2590962333607,"tropical"
"ANCHOVIELLA PERFASCIATA","year",0.0607249761425909,0.0685056221942694,0.886423248158903,0.387079459385422,-0.0831999954057753,0.204649947690957,"tropical"
"ANCYLOPSETTA DILECTA","(Intercept)",-65.0552527236616,25.7399086583951,-2.52740806453653,0.016023376602467,-117.258207059538,-12.8522983877857,"subtropical"
"ANCYLOPSETTA DILECTA","year",-0.0142853221972041,0.0128533533168669,-1.11140819403588,0.273760383928495,-0.040353130951624,0.0117824865572158,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","(Intercept)",29.2588555401377,30.8070339315673,0.949745944550565,0.348943961596515,-33.3485700156546,91.8662810959301,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","year",-0.061007401168575,0.0153763937578311,-3.96760138491539,0.000355300039095337,-0.0922559929560344,-0.0297588093811155,"subtropical"
"ANTENNARIUS STRIATUS","(Intercept)",-77.2486840117914,112.088232845517,-0.689177463599215,0.497321059287766,-308.587426557081,154.090058533498,"subtropical"
"ANTENNARIUS STRIATUS","year",-0.00810404261189208,0.0559979645810008,-0.144720306756322,0.886140176169565,-0.123678161164717,0.107470075940932,"subtropical"
"APOGON AFFINIS","(Intercept)",-113.013059346875,118.578398714745,-0.953066161896333,0.365450489487712,-381.256033352576,155.229914658826,"tropical"
